"assettreat","asset_comp","isrstock","palstock","tradestock6all","age","married","faminc","religion","female","BA_or_higher","right_2013","right_2015","left_2013","left_2015","p_index_2013","p_index_2015","p_index_2016","e_index_2013","e_index_2015"
1,1,0,1,1,40,1,12000,"jewish",0,0,0,0,0,1,5.46816527843475,10.6488370895386,9.4617748260498,-1.87413945794106,2.66057372093201
1,0,1,0,0,70,0,12000,"jewish",0,0,0,0,0,0,2.90505766868591,5.78367233276367,-0.462737083435059,-0.164053067564964,-4.56542074680328
1,1,0,1,1,59,1,24000,"jewish",0,1,0,1,0,0,2.90505766868591,3.78965198993683,7.23145723342896,-12.3425507545471,-12.8035140037537
1,1,0,0,1,24,0,0,"jewish",1,0,0,0,0,1,0.88621012866497,1.44528046250343,2.2322778403759,1.0249900072813,3.98003429174423
1,1,1,0,0,22,0,0,"jewish",0,0,0,0,0,1,0.862780436873436,-0.896040201187134,4.65718269348145,-2.74069726467133,0.629708468914032
1,1,1,0,0,72,0,3000,"jewish",0,0,0,0,0,1,0.502733290195465,6.14261627197266,4.38707232475281,3.86976778507233,2.02035516500473
1,0,0,1,0,65,0,8000,"jewish",1,0,0,0,0,0,5.74617147445679,1.44833132624626,2.42686524987221,12.6037871837616,8.55457782745361
1,1,1,0,1,33,1,12000,"jewish",0,1,1,0,0,0,12.4290144443512,10.6488370895386,4.73186761140823,-1.7662188410759,-3.02305340766907
1,1,0,0,0,68,1,12000,"jewish",0,0,0,0,0,0,5.74617147445679,3.96912395954132,2.15759307146072,-8.00720930099487,-5.65755128860474
1,0,0,1,0,35,0,8000,"jewish",1,1,0,0,1,1,8.14849555492401,NA,7.15677261352539,-0.322644114494324,NA
1,1,1,0,1,65,1,8000,"jewish",1,0,0,0,0,1,7.46358275413513,5.78062117099762,11.6912543773651,4.27091062068939,4.59177494049072
1,1,1,0,0,65,1,24000,"jewish",0,1,0,0,0,1,13.0318868160248,10.6488370895386,1.84226542711258,1.2795215845108,-0.933029055595398
0,0,0,0,1,50,1,16000,"jewish",1,0,0,1,0,0,0.455873757600784,NA,NA,-3.62453818321228,-1.48118853569031
