Appendix Table S14. Mean age of death correlation with SDI by Cause-Sex,,,,,,,,
cause_name,level,sex,r2 Observed,slope Observed,p Observed,r2 Observed vs Expected,slope Observed vs Expected,p Observed vs Expected
Bladder cancer,3,Male,0.39,18.01,<.0001,0.39,10.1,<.0001
Brain and central nervous system cancer,3,Both,0.79,70.58,<.0001,0.54,28.22,<.0001
Brain and central nervous system cancer,3,Female,0.79,74.39,<.0001,0.52,29.02,<.0001
Brain and central nervous system cancer,3,Male,0.78,67.56,<.0001,0.54,28.09,<.0001
Eye cancer,3,Male,0.58,99.51,<.0001,0.084,21.99,<.0001
Eye cancer,3,Female,0.68,98.74,<.0001,0.094,18.65,<.0001
Eye cancer,3,Both,0.68,99.29,<.0001,0.12,20.13,<.0001
Neuroblastoma and other peripheral nervous cell tumors,3,Male,0.66,77.51,<.0001,0.051,10.44,0.00047
Neuroblastoma and other peripheral nervous cell tumors,3,Female,0.65,73.62,<.0001,0.023,5.53,0.02
Neuroblastoma and other peripheral nervous cell tumors,3,Both,0.67,75.57,<.0001,0.039,7.7,0.0023
Thyroid cancer,3,Male,0.67,37.45,<.0001,0.44,15.91,<.0001
Thyroid cancer,3,Female,0.74,55.09,<.0001,0.41,23.96,<.0001
Thyroid cancer,3,Both,0.73,48.78,<.0001,0.44,21.75,<.0001
Mesothelioma,3,Male,0.47,31.82,<.0001,0.33,19.93,<.0001
Mesothelioma,3,Female,0.67,46.14,<.0001,0.46,26.61,<.0001
Mesothelioma,3,Both,0.58,38,<.0001,0.42,23.25,<.0001
Hodgkin lymphoma,3,Male,0.75,60.4,<.0001,0.35,16.78,<.0001
Hodgkin lymphoma,3,Female,0.77,67.74,<.0001,0.32,19.46,<.0001
Hodgkin lymphoma,3,Both,0.76,63.1,<.0001,0.33,17.26,<.0001
Non-Hodgkin lymphoma,3,Male,0.74,59.77,<.0001,0.44,22.01,<.0001
Non-Hodgkin lymphoma,3,Both,0.75,61.34,<.0001,0.42,21.23,<.0001
Non-Hodgkin lymphoma,3,Female,0.76,63.11,<.0001,0.39,21.11,<.0001
Multiple myeloma,3,Female,0.58,28.02,<.0001,0.45,14.02,<.0001
Multiple myeloma,3,Male,0.45,20.59,<.0001,0.35,10.14,<.0001
Multiple myeloma,3,Both,0.52,24.07,<.0001,0.4,11.78,<.0001
Leukemia,3,Both,0.81,87.66,<.0001,0.56,30.36,<.0001
Leukemia,3,Male,0.8,86.93,<.0001,0.58,32.08,<.0001
Leukemia,3,Female,0.81,89.04,<.0001,0.54,29.74,<.0001
Other malignant neoplasms,3,Both,0.79,68.7,<.0001,0.52,25.05,<.0001
Other malignant neoplasms,3,Female,0.78,70.66,<.0001,0.45,23.62,<.0001
Other malignant neoplasms,3,Male,0.79,67.1,<.0001,0.58,27.15,<.0001
Other neoplasms,3,Both,0.67,57.29,<.0001,0.35,20.3,<.0001
Other neoplasms,3,Male,0.66,63.71,<.0001,0.46,31.55,<.0001
Other neoplasms,3,Female,0.67,57.47,<.0001,0.26,16.07,<.0001
Cardiovascular diseases,2,Female,0.68,36.02,<.0001,0.54,16.56,<.0001
Cardiovascular diseases,2,Male,0.47,24.93,<.0001,0.26,8.42,<.0001
Cardiovascular diseases,2,Both,0.56,30.09,<.0001,0.39,11.57,<.0001
Rheumatic heart disease,3,Both,0.5,55.08,<.0001,0.16,19.39,<.0001
Rheumatic heart disease,3,Female,0.54,59.51,<.0001,0.2,22.74,<.0001
Rheumatic heart disease,3,Male,0.43,47.82,<.0001,0.086,13.5,<.0001
Ischemic heart disease,3,Female,0.62,32.01,<.0001,0.51,16.34,<.0001
Ischemic heart disease,3,Both,0.46,25.3,<.0001,0.29,9.75,<.0001
Ischemic heart disease,3,Male,0.38,20.89,<.0001,0.19,7.14,<.0001
Stroke,3,Male,0.49,25.22,<.0001,0.31,9.58,<.0001
Stroke,3,Both,0.59,30.1,<.0001,0.45,12.99,<.0001
Stroke,3,Female,0.68,34.54,<.0001,0.57,16.72,<.0001
Hypertensive heart disease,3,Male,0.4,24.12,<.0001,0.26,11.95,<.0001
Hypertensive heart disease,3,Female,0.54,29.64,<.0001,0.41,15.8,<.0001
Hypertensive heart disease,3,Both,0.47,27.74,<.0001,0.34,14.31,<.0001
Non-rheumatic valvular heart disease,3,Both,0.46,36.42,<.0001,0.38,20.02,<.0001
Non-rheumatic valvular heart disease,3,Female,0.49,38.99,<.0001,0.42,22.72,<.0001
Non-rheumatic valvular heart disease,3,Male,0.41,32.42,<.0001,0.32,16.75,<.0001
Cardiomyopathy and myocarditis,3,Male,0.52,42.28,<.0001,0.043,6.39,0.0012
Cardiomyopathy and myocarditis,3,Female,0.64,65.97,<.0001,0.16,15.97,<.0001
Cardiomyopathy and myocarditis,3,Both,0.57,51.49,<.0001,0.07,9,<.0001
Pulmonary Arterial Hypertension,3,Female,0.67,72.44,<.0001,0.11,11.58,<.0001
Pulmonary Arterial Hypertension,3,Male,0.53,58.95,<.0001,0.03,-6.44,0.0074
Pulmonary Arterial Hypertension,3,Both,0.62,66.26,<.0001,0.0084,2.98,0.16
Atrial fibrillation and flutter,3,Both,0.15,8.64,<.0001,0.076,3.68,<.0001
Atrial fibrillation and flutter,3,Female,0.19,9.7,<.0001,0.11,4.33,<.0001
Atrial fibrillation and flutter,3,Male,0.088,6.9,<.0001,0.045,2.94,0.00093
Aortic aneurysm,3,Both,0.37,21.22,<.0001,0.11,5.44,<.0001
Aortic aneurysm,3,Male,0.31,18.81,<.0001,0.099,4.87,<.0001
Aortic aneurysm,3,Female,0.48,25.83,<.0001,0.29,9.93,<.0001
Lower extremity peripheral arterial disease,3,Both,0.19,14.92,<.0001,0.1,7.24,<.0001
Lower extremity peripheral arterial disease,3,Male,0.11,10.1,<.0001,0.043,3.95,0.0013
Lower extremity peripheral arterial disease,3,Female,0.17,18.59,<.0001,0.094,10.67,<.0001
Endocarditis,3,Both,0.58,58.99,<.0001,0.11,14.2,<.0001
Endocarditis,3,Female,0.63,67.1,<.0001,0.16,18.53,<.0001
Endocarditis,3,Male,0.54,52.54,<.0001,0.12,12.84,<.0001
Other cardiovascular and circulatory diseases,3,Male,0.53,42.45,<.0001,0.0036,-1.59,0.36
Other cardiovascular and circulatory diseases,3,Female,0.68,53.74,<.0001,0.035,4.83,0.004
Other cardiovascular and circulatory diseases,3,Both,0.61,48.55,<.0001,0.0043,1.66,0.31
Chronic respiratory diseases,2,Female,0.67,38.12,<.0001,0.43,17.67,<.0001
Chronic respiratory diseases,2,Both,0.63,32.49,<.0001,0.41,14.86,<.0001
Chronic respiratory diseases,2,Male,0.59,28.88,<.0001,0.45,14.15,<.0001
Chronic obstructive pulmonary disease,3,Male,0.36,15.41,<.0001,0.28,8,<.0001
Chronic obstructive pulmonary disease,3,Both,0.41,16.68,<.0001,0.23,7.59,<.0001
Chronic obstructive pulmonary disease,3,Female,0.46,19.23,<.0001,0.27,8.85,<.0001
Pneumoconiosis,3,Female,0.23,15.03,<.0001,0.036,-3.67,0.0034
Pneumoconiosis,3,Male,0.19,16.07,<.0001,0.031,3.95,0.0064
Pneumoconiosis,3,Both,0.22,15.23,<.0001,0.0017,0.87,0.53
Asthma,3,Male,0.5,35.32,<.0001,0.0013,1.19,0.58
Asthma,3,Female,0.62,41.52,<.0001,0.018,4.08,0.037
Asthma,3,Both,0.59,39.61,<.0001,0.014,3.67,0.067
Interstitial lung disease and pulmonary sarcoidosis,3,Both,0.34,25.91,<.0001,0.14,11.19,<.0001
Interstitial lung disease and pulmonary sarcoidosis,3,Female,0.41,31.04,<.0001,0.18,13.19,<.0001
Interstitial lung disease and pulmonary sarcoidosis,3,Male,0.24,21.72,<.0001,0.1,10.11,<.0001
Other chronic respiratory diseases,3,Male,0.68,92.58,<.0001,0.16,22.17,<.0001
Other chronic respiratory diseases,3,Female,0.61,91.96,<.0001,0.076,14.95,<.0001
Other chronic respiratory diseases,3,Both,0.65,89.28,<.0001,0.086,15.1,<.0001
Digestive diseases,2,Female,0.74,47.93,<.0001,0.11,9.1,<.0001
Digestive diseases,2,Male,0.69,39.35,<.0001,0.19,10.51,<.0001
Digestive diseases,2,Both,0.72,43.77,<.0001,0.14,9.89,<.0001
Cirrhosis and other chronic liver diseases,3,Both,0.6,28.9,<.0001,0.015,3.17,0.058
Cirrhosis and other chronic liver diseases,3,Female,0.57,32.91,<.0001,0.00077,0.88,0.67
Cirrhosis and other chronic liver diseases,3,Male,0.6,27.29,<.0001,0.062,5.66,0.00011
Upper digestive system diseases,3,Both,0.68,45.76,<.0001,0.2,13.74,<.0001
Upper digestive system diseases,3,Male,0.65,45.85,<.0001,0.27,17.56,<.0001
Upper digestive system diseases,3,Female,0.7,44.9,<.0001,0.14,10.28,<.0001
Appendicitis,3,Male,0.65,60.18,<.0001,0.21,14.96,<.0001
Appendicitis,3,Both,0.64,61.82,<.0001,0.11,11.51,<.0001
Appendicitis,3,Female,0.61,64.35,<.0001,0.052,9.17,0.0004
Paralytic ileus and intestinal obstruction,3,Male,0.66,66.14,<.0001,0.03,6.85,0.0069
Paralytic ileus and intestinal obstruction,3,Both,0.7,71.38,<.0001,0.04,8.13,0.0019
Paralytic ileus and intestinal obstruction,3,Female,0.73,75.26,<.0001,0.05,9.78,0.00048
"Inguinal, femoral, and abdominal hernia",3,Male,0.51,48.18,<.0001,<.0001,-0.06,0.98
"Inguinal, femoral, and abdominal hernia",3,Female,0.42,54.02,<.0001,0.011,5.65,0.1
"Inguinal, femoral, and abdominal hernia",3,Both,0.6,51.38,<.0001,0.0017,1.33,0.53
Inflammatory bowel disease,3,Female,0.57,58.58,<.0001,0.22,24.76,<.0001
Inflammatory bowel disease,3,Both,0.6,50.26,<.0001,0.25,18.48,<.0001
Inflammatory bowel disease,3,Male,0.52,38.57,<.0001,0.14,9.6,<.0001
Vascular intestinal disorders,3,Both,0.41,33.29,<.0001,0.24,18.86,<.0001
