"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
         Nicaragua,Male,"5,396
(5,113 - 5,737)","6,173
(5,826 - 6,549)","963
(872 - 1,073)","182
(156 - 210)","12,716
(11,968 - 13,571)","165.8
(157.1 - 176.2)","187.8
(177.2 - 199.2)","29.0
(26.3 - 32.3)","5.4
(4.7 - 6.3)","97.0
(92.2 - 103.0)",,
         Nicaragua,Female,"2,895
(2,675 - 3,300)","4,205
(3,871 - 4,702)","689
(598 - 829)","124
(106 - 150)","7,914
(7,251 - 8,983)","86.7
(80.2 - 98.9)","124.6
(114.7 - 139.4)","20.2
(17.5 - 24.3)","3.6
(3.1 - 4.4)","58.8
(54.3 - 66.4)",,
         Nicaragua,Both Sex,"8,292
(7,873 - 8,948)","10,378
(9,825 - 11,053)","1,652
(1,494 - 1,848)","306
(272 - 347)","20,630
(19,465 - 22,199)","125.8
(119.4 - 135.7)","155.8
(147.5 - 165.9)","24.5
(22.2 - 27.5)","4.5
(4.0 - 5.1)","77.7
(73.4 - 83.3)",,
         Panama,Male,"2,692
(2,574 - 2,793)","2,393
(2,271 - 2,485)","759
(701 - 807)","247
(224 - 268)","6,093
(5,771 - 6,355)","135.7
(129.7 - 140.8)","119.9
(113.8 - 124.5)","37.9
(35.0 - 40.3)","11.9
(10.8 - 12.9)","76.4
(72.6 - 79.0)",,
         Panama,Female,"1,743
(1,608 - 1,829)","1,594
(1,472 - 1,675)","615
(542 - 666)","200
(175 - 220)","4,153
(3,799 - 4,392)","87.0
(80.2 - 91.3)","78.7
(72.7 - 82.7)","30.2
(26.6 - 32.7)","9.5
(8.3 - 10.4)","51.3
(47.2 - 54.1)",,
         Panama,Both Sex,"4,436
(4,183 - 4,610)","3,987
(3,764 - 4,147)","1,374
(1,252 - 1,458)","447
(406 - 481)","10,247
(9,607 - 10,696)","111.2
(104.9 - 115.6)","99.2
(93.6 - 103.1)","34.0
(31.0 - 36.1)","10.7
(9.7 - 11.5)","63.8
(59.8 - 66.2)",,
         Venezuela (Bolivarian Republic of),Male,"3,078
(2,910 - 3,261)","9,120
(8,502 - 9,788)","982
(903 - 1,074)","146
(131 - 159)","13,328
(12,448 - 14,283)","22.8
(21.6 - 24.2)","69.8
(65.0 - 74.9)","7.7
(7.1 - 8.4)","1.2
(1.1 - 1.3)","25.4
(23.8 - 27.0)",,
         Venezuela (Bolivarian Republic of),Female,"2,296
(2,155 - 2,436)","7,274
(6,800 - 7,711)","844
(773 - 922)","136
(124 - 151)","10,552
(9,853 - 11,221)","16.2
(15.2 - 17.2)","52.5
(49.1 - 55.6)","6.2
(5.7 - 6.7)","1.0
(0.9 - 1.1)","19.0
(17.8 - 20.0)",,
         Venezuela (Bolivarian Republic of),Both Sex,"5,375
(5,127 - 5,643)","16,394
(15,605 - 17,364)","1,827
(1,697 - 1,962)","282
(260 - 304)","23,880
(22,691 - 25,274)","19.4
(18.5 - 20.4)","60.9
(57.9 - 64.5)","6.9
(6.4 - 7.4)","1.1
(1.0 - 1.2)","22.1
(21.0 - 23.3)",,
      Tropical Latin America,Male,"134,074
(128,117 - 137,819)","271,112
(263,224 - 276,751)","52,183
(48,891 - 54,371)","7,600
(7,130 - 7,958)","464,971
(447,363 - 476,901)","127.0
(121.4 - 130.6)","256.4
(248.9 - 261.7)","49.3
(46.2 - 51.3)","7.2
(6.7 - 7.5)","110.0
(105.8 - 112.8)",,
      Tropical Latin America,Female,"98,322
(89,078 - 103,492)","214,927
(200,425 - 223,028)","47,306
(40,693 - 50,764)","6,578
(5,752 - 7,138)","367,134
(335,949 - 384,424)","88.6
(80.3 - 93.3)","193.0
(180.0 - 200.3)","42.3
(36.4 - 45.4)","5.9
(5.1 - 6.4)","82.5
(75.4 - 86.3)",,
      Tropical Latin America,Both Sex,"232,396
(217,747 - 241,073)","486,040
(464,033 - 498,724)","99,489
(89,693 - 104,845)","14,179
(12,976 - 15,097)","832,106
(784,451 - 859,741)","107.4
(100.6 - 111.4)","223.9
(213.7 - 229.7)","45.7
(41.2 - 48.2)","6.5
(5.9 - 6.9)","95.9
(90.4 - 98.9)",,
         Brazil,Male,"131,596
(125,758 - 135,268)","257,127
(249,080 - 262,261)","48,850
(45,609 - 50,916)","5,705
(5,277 - 5,980)","443,279
(425,725 - 454,428)","128.5
(122.8 - 132.1)","250.6
(242.7 - 255.6)","47.5
(44.4 - 49.5)","5.5
(5.1 - 5.8)","108.0
(103.7 - 110.6)",,
         Brazil,Female,"96,739
(87,607 - 101,849)","204,648
(190,600 - 212,348)","44,903
(38,455 - 48,307)","5,121
(4,405 - 5,541)","351,413
(321,068 - 368,047)","89.8
(81.3 - 94.5)","189.1
(176.1 - 196.2)","41.3
(35.4 - 44.5)","4.7
(4.0 - 5.1)","81.2
(74.2 - 85.0)",,
         Brazil,Both Sex,"228,336
(213,631 - 236,957)","461,775
(440,179 - 473,981)","93,753
(84,229 - 98,948)","10,827
(9,708 - 11,488)","794,692
(747,749 - 821,375)","108.6
(101.6 - 112.7)","219.0
(208.8 - 224.8)","44.3
(39.8 - 46.8)","5.1
(4.6 - 5.4)","94.3
(88.8 - 97.4)",,
         Paraguay,Male,"2,477
(2,351 - 2,721)","13,985
(13,484 - 14,883)","3,333
(3,061 - 3,691)","1,895
(1,747 - 2,114)","21,691
(20,644 - 23,409)","79.3
(75.3 - 87.2)","447.6
(431.5 - 476.3)","106.6
(97.9 - 118.0)","60.4
(55.7 - 67.4)","173.5
(166.2 - 188.9)",,
         Paraguay,Female,"1,582
(1,454 - 1,823)","10,278
(9,734 - 11,290)","2,403
(2,140 - 2,780)","1,457
(1,302 - 1,695)","15,721
(14,632 - 17,589)","50.3
(46.2 - 58.0)","325.6
(308.3 - 357.6)","75.8
(67.5 - 87.7)","45.7
(40.9 - 53.2)","124.4
(116.4 - 138.7)",,
         Paraguay,Both Sex,"4,060
(3,815 - 4,487)","24,264
(23,292 - 25,905)","5,736
(5,307 - 6,369)","3,352
(3,087 - 3,767)","37,413
(35,502 - 40,529)","64.8
(60.9 - 71.6)","386.2
(370.8 - 412.4)","91.1
(84.3 - 101.2)","53.0
(48.8 - 59.6)","148.8
(141.6 - 160.5)",,
   North Africa and Middle East,Male,"375,346
(345,403 - 405,266)","402,403
(372,754 - 432,330)","80,940
(73,129 - 88,603)","13,183
(11,530 - 14,920)","871,875
(802,817 - 941,121)","117.5
(108.1 - 126.9)","124.3
(115.2 - 133.6)","24.7
(22.3 - 27.0)","4.0
(3.5 - 4.5)","67.6
(62.5 - 72.9)",,
   North Africa and Middle East,Female,"265,065
(240,946 - 293,245)","331,966
(306,797 - 361,771)","70,181
(62,669 - 79,156)","11,644
(9,994 - 13,797)","678,858
(620,409 - 747,970)","89.8
(81.6 - 99.4)","111.1
(102.7 - 121.1)","23.2
(20.7 - 26.2)","3.8
(3.3 - 4.5)","57.0
(52.3 - 62.8)",,
   North Africa and Middle East,Both Sex,"640,412
(601,102 - 681,719)","734,370
(693,130 - 780,529)","151,121
(139,517 - 162,618)","24,828
(22,150 - 27,278)","1,550,733
(1,455,900 - 1,652,145)","104.2
(97.8 - 110.9)","118.0
(111.3 - 125.4)","24.0
(22.1 - 25.8)","3.9
(3.5 - 4.3)","62.5
(58.9 - 66.7)",,
      North Africa and Middle East,Male,"375,346
(345,403 - 405,266)","402,403
(372,754 - 432,330)","80,940
(73,129 - 88,603)","13,183
(11,530 - 14,920)","871,875
(802,817 - 941,121)","117.5
(108.1 - 126.9)","124.3
(115.2 - 133.6)","24.7
(22.3 - 27.0)","4.0
(3.5 - 4.5)","67.6
(62.5 - 72.9)",,
      North Africa and Middle East,Female,"265,065
(240,946 - 293,245)","331,966
(306,797 - 361,771)","70,181
(62,669 - 79,156)","11,644
(9,994 - 13,797)","678,858
(620,409 - 747,970)","89.8
(81.6 - 99.4)","111.1
(102.7 - 121.1)","23.2
(20.7 - 26.2)","3.8
(3.3 - 4.5)","57.0
(52.3 - 62.8)",,
      North Africa and Middle East,Both Sex,"640,412
(601,102 - 681,719)","734,370
(693,130 - 780,529)","151,121
(139,517 - 162,618)","24,828
(22,150 - 27,278)","1,550,733
(1,455,900 - 1,652,145)","104.2
(97.8 - 110.9)","118.0
(111.3 - 125.4)","24.0
(22.1 - 25.8)","3.9
(3.5 - 4.3)","62.5
(58.9 - 66.7)",,
         Afghanistan,Male,"15,845
(13,875 - 18,199)","24,338
(21,526 - 28,027)","3,030
(2,568 - 3,533)","1,258
(1,072 - 1,509)","44,473
(39,042 - 51,269)","89.8
(78.7 - 103.2)","133.3
(117.9 - 153.5)","16.1
(13.6 - 18.7)","6.8
(5.8 - 8.2)","61.5
(54.4 - 70.3)",,
         Afghanistan,Female,"9,874
(8,532 - 11,568)","17,513
(14,934 - 20,313)","1,967
(1,641 - 2,331)","745
(621 - 908)","30,100
(25,730 - 35,121)","58.6
(50.6 - 68.6)","100.5
(85.7 - 116.6)","10.9
(9.1 - 13.0)","4.2
(3.5 - 5.1)","43.5
(37.3 - 50.2)",,
         Afghanistan,Both Sex,"25,719
(23,044 - 29,150)","41,851
(37,815 - 46,769)","4,997
(4,413 - 5,762)","2,004
(1,754 - 2,282)","74,573
(67,029 - 83,963)","74.6
(66.8 - 84.5)","117.3
(106.0 - 131.1)","13.6
(12.0 - 15.6)","5.5
(4.8 - 6.3)","52.7
(47.5 - 59.2)",,
         Algeria,Male,"13,145
(9,388 - 16,387)","11,675
(8,126 - 14,699)","1,653
(1,101 - 2,139)","213
(144 - 279)","26,687
(18,760 - 33,506)","60.9
(43.5 - 75.9)","53.3
(37.1 - 67.2)","7.5
(5.0 - 9.6)","0.9
(0.6 - 1.2)","30.7
(21.6 - 38.7)",,
         Algeria,Female,"10,829
(8,266 - 13,001)","10,847
(8,353 - 13,204)","1,730
(1,260 - 2,180)","224
(162 - 286)","23,632
(18,043 - 28,674)","51.2
(39.1 - 61.4)","50.5
(38.9 - 61.5)","8.0
(5.8 - 10.0)","1.0
(0.7 - 1.3)","27.7
(21.2 - 33.8)",,
         Algeria,Both Sex,"23,975
(19,346 - 28,565)","22,522
(17,915 - 26,802)","3,384
(2,602 - 4,201)","437
(334 - 550)","50,319
(40,199 - 60,120)","56.1
(45.2 - 66.8)","52.0
(41.3 - 61.8)","7.7
(5.9 - 9.6)","1.0
(0.8 - 1.2)","29.2
(23.3 - 34.8)",,
         Bahrain,Male,"389
(352 - 430)","674
(598 - 763)","106
(92 - 122)","13
(11 - 15)","1,184
(1,054 - 1,331)","40.6
(36.7 - 44.9)","69.6
(61.8 - 78.7)","10.9
(9.4 - 12.5)","1.4
(1.2 - 1.6)","30.6
(27.6 - 34.2)",,
         Bahrain,Female,"232
(207 - 260)","375
(334 - 425)","74
(63 - 87)","11
(9 - 13)","694
(614 - 787)","41.3
(36.8 - 46.2)","65.8
(58.6 - 74.6)","12.9
(11.0 - 15.2)","1.9
(1.6 - 2.4)","30.5
(27.5 - 34.2)",,
         Bahrain,Both Sex,"622
(573 - 677)","1,050
(961 - 1,152)","180
(160 - 200)","24
(21 - 28)","1,878
(1,717 - 2,059)","40.9
(37.6 - 44.5)","68.2
(62.4 - 74.8)","11.6
(10.4 - 12.9)","1.6
(1.4 - 1.8)","30.6
(28.3 - 33.3)",,
         Egypt,Male,"58,577
(53,848 - 63,877)","66,451
(60,697 - 72,790)","10,081
(8,554 - 11,783)","869
(732 - 1,010)","135,980
(123,833 - 149,462)","108.3
(99.6 - 118.1)","120.9
(110.4 - 132.4)","18.0
(15.3 - 21.1)","1.5
(1.3 - 1.8)","62.2
(56.8 - 68.3)",,
         Egypt,Female,"48,276
(43,079 - 53,713)","64,906
(58,306 - 71,893)","10,664
(9,085 - 12,625)","911
(762 - 1,103)","124,759
(111,234 - 139,336)","95.5
(85.2 - 106.2)","126.3
(113.5 - 140.0)","20.4
(17.4 - 24.2)","1.7
(1.4 - 2.1)","61.0
(54.4 - 67.5)",,
         Egypt,Both Sex,"106,853
(99,632 - 114,256)","131,358
(121,276 - 141,082)","20,746
(18,012 - 23,183)","1,781
(1,548 - 2,026)","260,739
(240,470 - 280,549)","102.1
(95.2 - 109.2)","123.5
(114.0 - 132.7)","19.2
(16.7 - 21.5)","1.6
(1.4 - 1.8)","61.6
(57.1 - 66.1)",,
         Iran (Islamic Republic of),Male,"101,431
(93,512 - 109,806)","88,767
(80,979 - 96,543)","17,990
(15,591 - 20,327)","4,970
(4,106 - 5,859)","213,159
(194,189 - 232,537)","234.4
(216.1 - 253.7)","204.2
(186.3 - 222.1)","41.2
(35.7 - 46.5)","11.1
(9.2 - 13.1)","122.7
(112.0 - 133.7)",,
         Iran (Islamic Republic of),Female,"80,969
(72,237 - 92,089)","79,734
(71,330 - 89,753)","17,653
(15,001 - 21,312)","5,058
(4,135 - 6,574)","183,415
(162,705 - 209,728)","192.6
(171.8 - 219.1)","188.8
(168.9 - 212.6)","41.6
(35.4 - 50.3)","11.7
(9.6 - 15.2)","108.7
(96.5 - 123.9)",,
         Iran (Islamic Republic of),Both Sex,"182,400
(171,404 - 196,018)","168,501
(158,075 - 181,720)","35,644
(32,080 - 40,127)","10,028
(8,650 - 11,596)","396,575
(370,211 - 429,462)","213.8
(200.9 - 229.8)","196.6
(184.5 - 212.1)","41.4
(37.3 - 46.6)","11.4
(9.8 - 13.2)","115.8
(108.4 - 125.3)",,
         Iraq,Male,"38,472
(33,914 - 42,482)","24,423
(20,884 - 27,595)","2,860
(2,317 - 3,344)","682
(537 - 799)","66,438
(57,653 - 74,222)","177.9
(156.8 - 196.5)","111.1
(95.0 - 125.6)","12.8
(10.4 - 15.0)","3.0
(2.4 - 3.5)","76.2
(66.0 - 84.9)",,
         Iraq,Female,"21,927
(19,421 - 25,003)","15,930
(13,751 - 18,275)","1,957
(1,605 - 2,342)","491
(388 - 599)","40,306
(35,167 - 46,220)","107.9
(95.6 - 123.0)","77.0
(66.5 - 88.3)","9.3
(7.6 - 11.1)","2.3
(1.8 - 2.8)","49.1
(43.0 - 56.2)",,
         Iraq,Both Sex,"60,399
(54,803 - 65,437)","40,354
(35,776 - 44,454)","4,817
(4,119 - 5,448)","1,173
(985 - 1,363)","106,745
(95,684 - 116,703)","144.0
(130.7 - 156.0)","94.6
(83.9 - 104.2)","11.1
(9.5 - 12.6)","2.7
(2.2 - 3.1)","63.1
(56.7 - 68.8)",,
         Jordan,Male,"5,095
(4,610 - 5,553)","8,486
(7,702 - 9,224)","1,670
(1,482 - 1,881)","399
(340 - 463)","15,652
(14,135 - 17,123)","79.6
(72.0 - 86.7)","128.1
(116.2 - 139.2)","24.4
(21.6 - 27.4)","5.6
(4.8 - 6.5)","59.4
(53.7 - 64.8)",,
         Jordan,Female,"4,384
(3,941 - 4,777)","7,901
(7,191 - 8,515)","1,590
(1,367 - 1,791)","409
(335 - 478)","14,286
(12,834 - 15,562)","78.7
(70.7 - 85.7)","137.4
(125.0 - 148.1)","26.8
(23.0 - 30.2)","6.7
(5.5 - 7.8)","62.4
(56.4 - 68.0)",,
         Jordan,Both Sex,"9,480
(8,692 - 10,139)","16,388
(15,225 - 17,375)","3,261
(2,933 - 3,575)","809
(701 - 913)","29,939
(27,552 - 32,003)","79.2
(72.6 - 84.7)","132.4
(123.0 - 140.4)","25.5
(22.9 - 27.9)","6.1
(5.3 - 6.9)","60.8
(55.9 - 64.8)",,
         Kuwait,Male,"1,385
(1,325 - 1,438)","1,575
(1,507 - 1,634)","129
(120 - 138)","18
(16 - 20)","3,109
(2,969 - 3,232)","52.8
(50.5 - 54.8)","57.9
(55.4 - 60.1)","4.6
(4.3 - 4.9)","0.6
(0.6 - 0.7)","29.0
(27.7 - 30.0)",,
         Kuwait,Female,"792
(738 - 837)","981
(918 - 1,032)","105
(94 - 114)","16
(14 - 18)","1,896
(1,766 - 2,002)","46.1
(43.0 - 48.7)","56.6
(52.9 - 59.5)","6.0
(5.4 - 6.5)","0.9
(0.8 - 1.0)","27.4
(25.5 - 28.8)",,
         Kuwait,Both Sex,"2,178
(2,074 - 2,266)","2,557
(2,458 - 2,654)","235
(217 - 249)","34
(31 - 38)","5,005
(4,780 - 5,209)","50.2
(47.8 - 52.2)","57.4
(55.2 - 59.6)","5.1
(4.8 - 5.5)","0.7
(0.7 - 0.8)","28.4
(27.1 - 29.3)",,
         Lebanon,Male,"5,906
(5,536 - 6,243)","4,972
(4,664 - 5,251)","1,822
(1,574 - 2,037)","263
(218 - 309)","12,965
(11,994 - 13,841)","205.5
(192.7 - 217.3)","173.8
(163.0 - 183.5)","63.8
(55.1 - 71.3)","9.2
(7.7 - 10.8)","113.1
(105.8 - 119.5)",,
         Lebanon,Female,"3,828
(3,270 - 4,226)","3,289
(2,827 - 3,614)","1,377
(1,087 - 1,610)","231
(172 - 281)","8,727
(7,358 - 9,732)","135.5
(115.7 - 149.5)","116.2
(99.9 - 127.6)","48.5
(38.3 - 56.7)","8.1
(6.1 - 9.9)","77.1
(65.0 - 84.5)",,
         Lebanon,Both Sex,"9,735
(9,011 - 10,355)","8,262
(7,642 - 8,764)","3,199
(2,798 - 3,588)","494
(421 - 583)","21,692
(19,873 - 23,291)","170.8
(158.1 - 181.7)","145.1
(134.2 - 153.9)","56.2
(49.1 - 63.0)","8.7
(7.4 - 10.2)","95.2
(87.6 - 101.1)",,
         Libya,Male,"3,398
(2,821 - 4,124)","7,065
(5,913 - 8,386)","1,033
(842 - 1,291)","122
(102 - 151)","11,620
(9,680 - 13,953)","91.6
(76.1 - 111.2)","188.9
(158.1 - 224.2)","27.4
(22.3 - 34.2)","3.2
(2.7 - 4.0)","77.8
(64.8 - 93.6)",,
         Libya,Female,"2,977
(2,491 - 3,534)","6,831
(5,826 - 7,990)","1,034
(848 - 1,269)","122
(100 - 151)","10,965
(9,267 - 12,945)","85.3
(71.4 - 101.3)","193.9
(165.4 - 226.8)","29.1
(23.8 - 35.7)","3.4
(2.8 - 4.2)","77.9
(65.7 - 91.7)",,
         Libya,Both Sex,"6,376
(5,614 - 7,239)","13,897
(12,311 - 15,498)","2,068
(1,776 - 2,431)","245
(211 - 290)","22,586
(19,913 - 25,459)","88.6
(78.0 - 100.6)","191.3
(169.5 - 213.4)","28.2
(24.2 - 33.2)","3.3
(2.9 - 3.9)","77.9
(68.8 - 87.6)",,
         Morocco,Male,"14,778
(11,162 - 18,928)","12,649
(9,474 - 16,214)","2,145
(1,625 - 2,815)","353
(271 - 474)","29,925
(22,533 - 38,432)","80.4
(60.7 - 103.0)","68.4
(51.3 - 87.7)","11.5
(8.7 - 15.2)","1.9
(1.5 - 2.5)","40.6
(30.7 - 52.0)",,
         Morocco,Female,"10,364
(8,718 - 12,913)","9,990
(8,464 - 12,057)","1,627
(1,405 - 1,918)","257
(219 - 299)","22,239
(18,808 - 27,188)","57.4
(48.3 - 71.5)","55.1
(46.7 - 66.5)","9.0
(7.7 - 10.6)","1.4
(1.2 - 1.6)","30.7
(26.2 - 37.5)",,
         Morocco,Both Sex,"25,142
(20,903 - 30,348)","22,639
(18,771 - 27,017)","3,772
(3,137 - 4,585)","610
(518 - 746)","52,165
(43,332 - 62,698)","69.0
(57.4 - 83.3)","61.8
(51.3 - 73.8)","10.3
(8.5 - 12.5)","1.7
(1.4 - 2.0)","35.7
(29.8 - 42.8)",,
         Oman,Male,"2,289
(2,042 - 2,540)","3,396
(2,997 - 3,822)","346
(292 - 411)","29
(23 - 35)","6,061
(5,356 - 6,808)","81.6
(72.8 - 90.6)","115.9
(102.3 - 130.4)","11.4
(9.6 - 13.5)","0.9
(0.7 - 1.1)","52.4
(46.7 - 58.5)",,
         Oman,Female,"1,176
(1,054 - 1,287)","1,889
(1,678 - 2,079)","233
(198 - 270)","23
(19 - 27)","3,323
(2,951 - 3,664)","66.5
(59.6 - 72.8)","103.0
(91.5 - 113.4)","12.3
(10.5 - 14.3)","1.2
(1.0 - 1.4)","45.8
(40.9 - 50.1)",,
         Oman,Both Sex,"3,465
(3,188 - 3,751)","5,285
(4,828 - 5,711)","580
(513 - 658)","52
(45 - 60)","9,384
(8,576 - 10,182)","75.8
(69.7 - 82.0)","110.9
(101.3 - 119.9)","11.7
(10.4 - 13.3)","1.0
(0.9 - 1.2)","49.9
(45.6 - 53.9)",,
         Palestine,Male,"1,070
(992 - 1,136)","2,383
(2,225 - 2,507)","505
(452 - 545)","41
(35 - 45)","4,000
(3,707 - 4,236)","40.8
(37.9 - 43.4)","89.3
(83.4 - 94.0)","18.6
(16.7 - 20.1)","1.5
(1.3 - 1.7)","37.6
(35.0 - 39.5)",,
         Palestine,Female,"834
(769 - 895)","1,938
(1,789 - 2,084)","443
(396 - 488)","40
(35 - 45)","3,257
(2,990 - 3,514)","33.1
(30.5 - 35.5)","75.4
(69.6 - 81.1)","17.0
(15.2 - 18.7)","1.5
(1.3 - 1.7)","31.7
(29.3 - 34.2)",,
         Palestine,Both Sex,"1,905
(1,776 - 2,007)","4,321
(4,062 - 4,523)","949
(866 - 1,014)","81
(72 - 89)","7,257
(6,777 - 7,634)","37.0
(34.5 - 39.0)","82.5
(77.5 - 86.3)","17.8
(16.3 - 19.0)","1.5
(1.3 - 1.6)","34.7
(32.5 - 36.4)",,
         Qatar,Male,"332
(297 - 364)","336
(292 - 371)","151
(131 - 170)","29
(25 - 34)","850
(746 - 941)","16.0
(14.3 - 17.6)","16.0
(13.9 - 17.7)","7.1
(6.2 - 8.0)","1.4
(1.2 - 1.6)","10.1
(9.0 - 11.0)",,
         Qatar,Female,"125
(110 - 140)","126
(110 - 143)","63
(53 - 75)","17
(14 - 21)","332
(287 - 381)","15.3
(13.4 - 17.1)","14.5
(12.7 - 16.5)","6.9
(5.8 - 8.3)","1.8
(1.5 - 2.2)","9.6
(8.5 - 10.7)",,
         Qatar,Both Sex,"458
(412 - 496)","462
(409 - 500)","214
(189 - 238)","47
(40 - 53)","1,182
(1,052 - 1,289)","15.8
(14.2 - 17.1)","15.6
(13.8 - 16.9)","7.1
(6.2 - 7.8)","1.5
(1.3 - 1.7)","10.0
(9.0 - 10.8)",,
         Saudi Arabia,Male,"11,996
(10,867 - 13,056)","4,506
(4,017 - 4,925)","874
(766 - 981)","330
(286 - 388)","17,708
(15,937 - 19,351)","60.7
(54.9 - 66.0)","22.6
(20.1 - 24.7)","4.3
(3.8 - 4.9)","1.6
(1.4 - 1.9)","22.3
(20.3 - 24.1)",,
         Saudi Arabia,Female,"7,316
(6,688 - 8,463)","3,148
(2,843 - 3,690)","672
(594 - 825)","236
(199 - 301)","11,373
(10,325 - 13,281)","56.6
(51.7 - 65.5)","24.5
(22.1 - 28.7)","5.3
(4.7 - 6.5)","1.9
(1.6 - 2.4)","22.1
(20.2 - 25.6)",,
         Saudi Arabia,Both Sex,"19,313
(17,881 - 20,596)","7,654
(7,100 - 8,307)","1,546
(1,398 - 1,731)","567
(502 - 648)","29,081
(26,882 - 31,283)","59.0
(54.7 - 63.0)","23.3
(21.6 - 25.3)","4.7
(4.2 - 5.3)","1.7
(1.5 - 2.0)","22.2
(20.6 - 23.8)",,
         Sudan,Male,"16,555
(12,619 - 20,846)","12,242
(9,047 - 15,723)","3,822
(2,811 - 5,132)","375
(287 - 479)","32,996
(24,764 - 42,182)","90.6
(69.1 - 114.1)","66.2
(49.0 - 85.1)","20.4
(15.0 - 27.4)","2.0
(1.5 - 2.5)","44.8
(34.1 - 57.1)",,
         Sudan,Female,"11,642
(9,471 - 14,144)","9,064
(7,031 - 11,085)","3,146
(2,471 - 3,905)","301
(242 - 382)","24,154
(19,216 - 29,518)","65.1
(53.0 - 79.1)","50.1
(38.9 - 61.3)","17.2
(13.5 - 21.3)","1.6
(1.3 - 2.1)","33.5
(26.8 - 40.4)",,
         Sudan,Both Sex,"28,198
(23,479 - 33,518)","21,307
(17,328 - 25,561)","6,969
(5,601 - 8,589)","677
(563 - 818)","57,151
(46,972 - 68,487)","78.0
(65.0 - 92.7)","58.3
(47.4 - 69.9)","18.8
(15.1 - 23.2)","1.8
(1.5 - 2.2)","39.2
(32.3 - 46.8)",,
         Syrian Arab Republic,Male,"7,018
(5,765 - 8,064)","12,888
(10,778 - 14,538)","1,391
(1,098 - 1,632)","172
(134 - 206)","21,471
(17,776 - 24,443)","82.4
(67.6 - 94.6)","149.9
(125.4 - 169.1)","16.2
(12.8 - 19.0)","2.0
(1.5 - 2.4)","62.6
(51.8 - 71.3)",,
         Syrian Arab Republic,Female,"4,636
(3,871 - 5,332)","9,356
(7,913 - 10,688)","1,112
(890 - 1,319)","146
(115 - 180)","15,252
(12,790 - 17,521)","52.1
(43.5 - 59.9)","104.2
(88.1 - 119.0)","12.4
(9.9 - 14.7)","1.6
(1.3 - 2.0)","42.6
(35.8 - 48.8)",,
         Syrian Arab Republic,Both Sex,"11,655
(10,204 - 12,993)","22,245
(19,763 - 24,612)","2,503
(2,116 - 2,867)","318
(268 - 371)","36,723
(32,352 - 40,845)","66.9
(58.6 - 74.6)","126.5
(112.4 - 140.0)","14.2
(12.0 - 16.3)","1.8
(1.5 - 2.1)","52.4
(46.1 - 58.2)",,
         Tunisia,Male,"20,268
(19,081 - 21,266)","36,049
(34,365 - 37,389)","7,440
(6,783 - 8,030)","778
(679 - 876)","64,536
(60,910 - 67,562)","344.5
(324.3 - 361.5)","610.4
(581.9 - 633.1)","125.5
(114.4 - 135.5)","13.1
(11.4 - 14.7)","273.4
(258.7 - 285.7)",,
         Tunisia,Female,"15,100
(13,386 - 16,201)","29,402
(26,903 - 30,952)","6,612
(5,609 - 7,396)","829
(661 - 962)","51,944
(46,560 - 55,513)","254.1
(225.2 - 272.6)","492.5
(450.6 - 518.5)","110.3
(93.6 - 123.4)","13.8
(11.0 - 16.0)","217.7
(195.0 - 231.8)",,
         Tunisia,Both Sex,"35,369
(32,865 - 37,198)","65,452
(61,662 - 68,055)","14,052
(12,456 - 15,194)","1,607
(1,370 - 1,795)","116,481
(108,354 - 122,244)","299.1
(277.9 - 314.5)","551.2
(519.2 - 573.1)","117.9
(104.5 - 127.4)","13.4
(11.4 - 15.0)","245.4
(227.9 - 256.9)",,
         Türkiye,Male,"41,700
(38,519 - 45,150)","66,422
(61,097 - 72,100)","22,139
(19,693 - 24,799)","1,889
(1,597 - 2,232)","132,151
(120,907 - 144,283)","99.3
(91.7 - 107.5)","156.9
(144.3 - 170.3)","51.8
(46.1 - 58.1)","4.4
(3.7 - 5.2)","78.1
(71.6 - 85.1)",,
         Türkiye,Female,"24,347
(21,705 - 27,127)","52,974
(47,024 - 59,717)","17,289
(14,402 - 20,480)","1,403
(1,117 - 1,739)","96,015
(84,249 - 109,064)","58.3
(52.0 - 64.9)","125.6
(111.5 - 141.6)","40.6
(33.8 - 48.1)","3.3
(2.6 - 4.1)","57.0
(50.3 - 64.6)",,
         Türkiye,Both Sex,"66,048
(61,258 - 71,530)","119,397
(110,773 - 130,297)","39,428
(35,194 - 44,052)","3,292
(2,806 - 3,834)","228,166
(210,032 - 249,714)","78.8
(73.1 - 85.4)","141.3
(131.1 - 154.2)","46.2
(41.3 - 51.7)","3.8
(3.3 - 4.5)","67.6
(62.4 - 73.8)",,
         United Arab Emirates,Male,"1,200
(1,057 - 1,332)","1,659
(1,446 - 1,846)","266
(221 - 307)","51
(43 - 60)","3,177
(2,769 - 3,547)","16.6
(14.7 - 18.5)","22.9
(20.0 - 25.5)","3.7
(3.0 - 4.2)","0.7
(0.6 - 0.8)","11.0
(9.5 - 12.1)",,
