"Appendix Table S3. Top causes containing misclassified COVID-19 (reported) by location, 2020-2022",,,,
Location Name,Cause Name,Amount of miscoded Covid deaths,Percent of total miscoded Covid deaths,Percent of total Covid (miscoded and reported)
Italy,Interstitial lung disease and pulmonary sarcoidosis,3503,12.6%,2.0%
Italy,Stroke,3299,11.8%,1.9%
Italy,Atrial fibrillation and flutter,559,2.0%,0.3%
Italy,Parkinson's disease,530,1.9%,0.3%
Italy,"Endocrine, metabolic, blood, and immune disorders",475,1.7%,0.3%
Italy,All Remaining Causes,458,1.6%,0.3%
Italy,Urinary diseases and male infertility,379,1.4%,0.2%
Italy,Aortic aneurysm,102,0.4%,0.1%
Japan,Alzheimer's disease and other dementias,22070,29.1%,15.2%
Japan,Urinary diseases and male infertility,14539,19.2%,10.0%
Japan,Diabetes mellitus,9710,12.8%,6.7%
Japan,Paralytic ileus and intestinal obstruction,5931,7.8%,4.1%
Japan,Ischemic heart disease,5743,7.6%,4.0%
Japan,All Remaining Causes,4765,6.3%,3.3%
Japan,Cirrhosis and other chronic liver diseases,3514,4.6%,2.4%
Japan,Gallbladder and biliary diseases,3247,4.3%,2.2%
Japan,Stroke,3231,4.3%,2.2%
Japan,Vascular intestinal disorders,1934,2.6%,1.3%
Japan,Interstitial lung disease and pulmonary sarcoidosis,1050,1.4%,0.7%
Kazakhstan,Ischemic heart disease,11945,30.4%,20.1%
Kazakhstan,Stroke,6229,15.8%,10.5%
Kazakhstan,Lower respiratory infections,6187,15.7%,10.4%
Kazakhstan,Other neurological disorders,3510,8.9%,5.9%
Kazakhstan,Cirrhosis and other chronic liver diseases,2963,7.5%,5.0%
Kazakhstan,Cardiomyopathy and myocarditis,2934,7.5%,4.9%
Kazakhstan,Chronic obstructive pulmonary disease,2104,5.3%,3.5%
Kazakhstan,Hypertensive heart disease,1526,3.9%,2.6%
Kazakhstan,All Remaining Causes,1099,2.8%,1.8%
Kazakhstan,Diabetes mellitus,551,1.4%,0.9%
Kazakhstan,Parkinson's disease,289,0.7%,0.5%
Latvia,Ischemic heart disease,641,47.5%,10.0%
Latvia,Hypertensive heart disease,218,16.1%,3.4%
Latvia,Cirrhosis and other chronic liver diseases,124,9.2%,1.9%
Latvia,Cardiomyopathy and myocarditis,104,7.7%,1.6%
Latvia,All Remaining Causes,65,4.8%,1.0%
Latvia,Atrial fibrillation and flutter,59,4.4%,0.9%
Latvia,Stroke,56,4.2%,0.9%
Latvia,"Endocrine, metabolic, blood, and immune disorders",48,3.5%,0.7%
Latvia,Non-melanoma skin cancer,13,0.9%,0.2%
Latvia,Kidney cancer,11,0.8%,0.2%
Latvia,Pulmonary Arterial Hypertension,11,0.8%,0.2%
Lebanon,Diabetes mellitus,1293,19.0%,8.1%
Lebanon,Lower respiratory infections,1070,15.7%,6.7%
Lebanon,Chronic kidney disease,917,13.5%,5.7%
Lebanon,Ischemic heart disease,889,13.1%,5.6%
Lebanon,All Remaining Causes,727,10.7%,4.6%
Lebanon,Stroke,694,10.2%,4.3%
Lebanon,Hypertensive heart disease,312,4.6%,2.0%
Lebanon,Cirrhosis and other chronic liver diseases,305,4.5%,1.9%
Lebanon,Chronic obstructive pulmonary disease,229,3.4%,1.4%
