Appendix Table S11. All cause probability of death before age 70 by location and sex,,,,,,,,
Location Name,Sex,1990,2000,2010,2019,2023,"Percent Change from 2000 to 2023, 0 to 70",
         Uganda,Male,77.3%,77.3%,61.8%,52.3%,50.5%,-34.7%,
         United Republic of Tanzania,Male,61.3%,65.2%,54.5%,45.9%,43.3%,-33.6%,
         Zambia,Male,72.3%,85.6%,69.3%,62.6%,59.0%,-31.1%,
      Southern Sub-Saharan Africa,Male,53.4%,73.0%,68.9%,56.8%,55.4%,-24.1%,
         Botswana,Male,53.2%,84.1%,52.6%,48.1%,47.4%,-43.7%,
         Eswatini,Male,73.0%,83.1%,84.0%,65.0%,63.1%,-24.1%,
         Lesotho,Male,65.1%,84.5%,76.8%,72.0%,69.9%,-17.3%,
         Namibia,Male,63.3%,72.2%,59.9%,55.0%,52.4%,-27.4%,
         South Africa,Male,51.8%,67.4%,69.1%,56.5%,55.4%,-17.8%,
         Zimbabwe,Male,54.4%,87.1%,68.5%,55.6%,51.9%,-40.4%,
      Western Sub-Saharan Africa,Male,65.1%,64.4%,57.4%,52.7%,51.0%,-20.9%,
         Benin,Male,65.5%,62.3%,56.3%,52.7%,50.3%,-19.3%,
         Burkina Faso,Male,67.5%,65.5%,52.0%,45.2%,45.0%,-31.3%,
         Cabo Verde,Male,40.0%,38.0%,34.7%,33.8%,31.9%,-16.0%,
         Cameroon,Male,64.8%,69.8%,64.2%,57.6%,55.1%,-21.1%,
         Chad,Male,72.1%,71.1%,65.4%,61.8%,60.7%,-14.6%,
         Côte d'Ivoire,Male,61.7%,66.7%,55.9%,50.8%,49.6%,-25.6%,
         Ghana,Male,65.8%,63.4%,59.6%,57.5%,55.0%,-13.2%,
         Guinea,Male,67.8%,64.0%,57.7%,53.9%,52.1%,-18.7%,
         Guinea-Bissau,Male,67.7%,66.0%,61.9%,58.6%,56.5%,-14.4%,
         Liberia,Male,73.1%,66.8%,59.3%,55.5%,54.2%,-18.8%,
         Mali,Male,65.2%,61.5%,53.6%,50.8%,49.2%,-19.9%,
         Mauritania,Male,55.4%,51.4%,48.4%,44.6%,44.2%,-14.2%,
         Niger,Male,72.5%,68.5%,60.7%,57.2%,55.2%,-19.4%,
         Nigeria,Male,64.0%,63.8%,56.6%,51.0%,49.2%,-22.9%,
         Sao Tome and Principe,Male,49.3%,51.2%,49.8%,44.0%,42.0%,-18.0%,
         Senegal,Male,58.1%,52.3%,46.1%,41.8%,40.9%,-21.7%,
         Sierra Leone,Male,73.5%,72.4%,66.1%,61.5%,59.5%,-17.8%,
         Gambia,Male,53.2%,51.4%,47.3%,46.7%,45.3%,-11.8%,
         Togo,Male,63.9%,65.7%,59.9%,53.9%,52.1%,-20.7%,
Global,Female,37.3%,33.8%,27.5%,23.8%,23.9%,-29.1%,
"   Central Europe, Eastern Europe, and Central Asia",Female,28.0%,29.3%,24.6%,20.3%,19.5%,-33.4%,
      Central Asia,Female,33.0%,34.0%,29.0%,24.1%,22.4%,-34.0%,
         Armenia,Female,27.8%,24.8%,20.7%,16.0%,12.2%,-50.6%,
         Azerbaijan,Female,33.5%,33.5%,26.0%,23.2%,22.3%,-33.6%,
         Georgia,Female,28.6%,28.8%,23.8%,18.1%,17.1%,-40.6%,
         Kazakhstan,Female,32.3%,35.0%,29.6%,22.0%,19.3%,-44.8%,
         Kyrgyzstan,Female,33.6%,33.7%,28.7%,19.4%,19.2%,-43.2%,
         Mongolia,Female,46.9%,46.8%,36.8%,24.4%,21.5%,-54.1%,
         Tajikistan,Female,36.0%,35.3%,27.6%,26.2%,30.4%,-13.8%,
         Turkmenistan,Female,37.4%,36.7%,32.3%,32.3%,30.9%,-15.8%,
         Uzbekistan,Female,33.1%,34.3%,31.5%,27.5%,25.3%,-26.3%,
      Central Europe,Female,26.2%,22.7%,18.5%,16.4%,15.6%,-31.4%,
         Albania,Female,22.5%,16.6%,12.7%,12.5%,10.8%,-35.1%,
         Bosnia and Herzegovina,Female,25.3%,21.1%,18.0%,16.5%,15.7%,-25.8%,
         Bulgaria,Female,25.5%,24.6%,20.2%,18.8%,17.8%,-27.9%,
         Croatia,Female,22.5%,19.1%,15.6%,13.6%,13.3%,-30.6%,
         Czechia,Female,25.1%,19.0%,15.4%,13.3%,12.6%,-34.0%,
         Hungary,Female,29.5%,25.3%,21.4%,19.2%,18.8%,-25.5%,
         Montenegro,Female,21.4%,23.6%,20.6%,16.9%,16.6%,-29.3%,
         North Macedonia,Female,27.1%,24.6%,20.4%,19.1%,16.6%,-32.4%,
         Poland,Female,24.9%,20.3%,17.0%,15.6%,14.5%,-28.5%,
         Romania,Female,27.8%,25.8%,20.9%,18.1%,17.1%,-33.8%,
         Serbia,Female,28.5%,27.3%,21.7%,18.6%,18.2%,-33.1%,
         Slovakia,Female,25.5%,21.1%,17.7%,15.4%,14.8%,-29.8%,
         Slovenia,Female,21.1%,17.1%,12.7%,10.4%,10.5%,-38.6%,
      Eastern Europe,Female,27.3%,31.1%,26.6%,20.8%,20.0%,-35.6%,
         Belarus,Female,25.2%,28.2%,24.3%,18.4%,19.3%,-31.5%,
         Estonia,Female,26.7%,24.2%,16.9%,13.5%,12.8%,-46.9%,
         Latvia,Female,26.9%,25.2%,21.4%,17.3%,17.4%,-30.8%,
         Lithuania,Female,25.0%,22.0%,21.1%,16.8%,16.2%,-26.2%,
         Republic of Moldova,Female,34.5%,32.9%,29.7%,21.1%,18.5%,-43.8%,
         Russian Federation,Female,27.7%,32.2%,27.2%,21.3%,19.9%,-38.1%,
         Ukraine,Female,26.4%,29.5%,26.0%,20.3%,21.4%,-27.5%,
   High-income,Female,18.4%,15.6%,13.4%,12.5%,12.9%,-17.1%,
      Australasia,Female,18.0%,14.0%,11.4%,10.2%,9.9%,-29.3%,
         Australia,Female,17.4%,13.5%,11.0%,9.8%,9.4%,-30.5%,
         New Zealand,Female,21.0%,16.8%,13.2%,12.1%,12.8%,-23.7%,
      High-income Asia Pacific,Female,15.2%,12.0%,9.3%,7.7%,7.9%,-34.2%,
         Brunei Darussalam,Female,31.2%,26.4%,20.9%,18.7%,18.5%,-30.0%,
         Japan,Female,12.9%,10.9%,9.1%,8.0%,8.3%,-23.4%,
         Singapore,Female,21.5%,15.8%,10.6%,8.1%,7.5%,-52.8%,
         Republic of Korea,Female,23.6%,15.7%,10.1%,7.1%,7.0%,-55.6%,
      High-income North America,Female,21.0%,19.5%,16.9%,16.5%,17.1%,-12.3%,
         Canada,Female,17.2%,15.0%,12.7%,11.8%,12.5%,-16.7%,
         Greenland,Female,46.5%,44.2%,36.0%,30.7%,27.1%,-38.7%,
         United States of America,Female,21.4%,20.0%,17.4%,17.0%,17.7%,-11.8%,
      Southern Latin America,Female,23.5%,20.3%,18.5%,16.6%,16.6%,-18.3%,
         Argentina,Female,23.6%,21.2%,19.7%,17.9%,17.9%,-15.4%,
         Chile,Female,23.5%,17.9%,15.9%,13.2%,13.1%,-26.7%,
         Uruguay,Female,22.9%,20.4%,18.0%,17.6%,18.7%,-8.3%,
      Western Europe,Female,17.4%,14.2%,11.9%,10.8%,11.1%,-21.5%,
         Andorra,Female,12.6%,11.9%,10.8%,10.5%,10.8%,-9.3%,
         Austria,Female,17.8%,14.3%,12.2%,10.8%,10.4%,-27.5%,
         Belgium,Female,17.7%,15.1%,13.9%,12.0%,11.5%,-23.6%,
